Latitude (decimal degrees):	51.339
Longitude (decimal degrees):	-1.262
Elevation (m):	98
Radiation database:	PVGIS-SARAH3


Slope: 30 deg. 
Azimuth: 15 deg. 
Nominal power of the PV system (c-Si) (kWp):	3.2
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20050101:0010,0.0,0.0,0.0,4.96,2.69,0.0
20050101:0110,0.0,0.0,0.0,4.51,2.62,0.0
20050101:0210,0.0,0.0,0.0,4.31,2.76,0.0
20050101:0310,0.0,0.0,0.0,4.38,2.9,0.0
20050101:0410,0.0,0.0,0.0,4.77,3.03,0.0
20050101:0510,0.0,0.0,0.0,5.43,3.17,0.0
20050101:0610,0.0,0.0,0.0,6.0,3.31,0.0
20050101:0710,0.0,0.0,0.0,6.32,3.38,0.0
20050101:0810,0.0,0.0,0.0,6.83,3.66,0.0
20050101:0910,0.1,5.68,6.07,7.24,3.93,0.0
20050101:1010,19.2,17.03,11.3,7.58,4.48,0.0
20050101:1110,287.81,120.1,14.58,8.04,4.21,0.0
20050101:1210,24.86,19.87,15.65,8.91,6.76,0.0
20050101:1310,314.85,130.16,14.39,9.26,5.1,0.0
20050101:1410,15.23,15.14,10.93,10.01,7.24,0.0
20050101:1510,32.77,23.65,5.56,10.19,8.21,0.0
20050101:1610,0.0,0.0,0.0,10.13,8.76,0.0
20050101:1710,0.0,0.0,0.0,10.62,9.1,0.0
20050101:1810,0.0,0.0,0.0,9.9,9.93,0.0
20050101:1910,0.0,0.0,0.0,9.05,8.41,0.0
20050101:2010,0.0,0.0,0.0,7.88,8.34,0.0
20050101:2110,0.0,0.0,0.0,6.99,7.72,0.0
20050101:2210,0.0,0.0,0.0,6.36,7.17,0.0
20050101:2310,0.0,0.0,0.0,5.79,6.83,0.0
20050102:0010,0.0,0.0,0.0,5.29,6.62,0.0
20050102:0110,0.0,0.0,0.0,4.84,6.41,0.0
20050102:0210,0.0,0.0,0.0,4.5,6.21,0.0
20050102:0310,0.0,0.0,0.0,4.47,6.07,0.0
20050102:0410,0.0,0.0,0.0,4.41,6.0,0.0
20050102:0510,0.0,0.0,0.0,4.23,5.79,0.0
20050102:0610,0.0,0.0,0.0,3.95,5.66,0.0
20050102:0710,0.0,0.0,0.0,3.44,5.38,0.0
20050102:0810,0.0,0.0,0.0,3.44,5.24,0.0
20050102:0910,143.42,68.55,6.11,3.61,5.03,0.0
20050102:1010,838.37,311.3,11.35,4.41,5.17,0.0
20050102:1110,1328.45,490.15,14.65,5.4,4.21,0.0
20050102:1210,1463.84,539.8,15.74,6.18,5.1,0.0
20050102:1310,1655.14,612.99,14.49,6.64,5.66,0.0
20050102:1410,1612.7,597.95,11.04,6.78,5.86,0.0
20050102:1510,942.08,351.32,5.68,6.48,5.59,0.0
20050102:1610,0.0,0.0,0.0,5.74,5.24,0.0
20050102:1710,0.0,0.0,0.0,5.05,4.9,0.0
20050102:1810,0.0,0.0,0.0,4.48,4.62,0.0
20050102:1910,0.0,0.0,0.0,4.17,4.9,0.0
20050102:2010,0.0,0.0,0.0,3.96,4.69,0.0
20050102:2110,0.0,0.0,0.0,3.76,4.55,0.0
20050102:2210,0.0,0.0,0.0,3.66,4.41,0.0
20050102:2310,0.0,0.0,0.0,3.62,4.34,0.0
20050103:0010,0.0,0.0,0.0,3.59,4.28,0.0
20050103:0110,0.0,0.0,0.0,3.63,4.28,0.0
20050103:0210,0.0,0.0,0.0,3.66,4.21,0.0
20050103:0310,0.0,0.0,0.0,3.73,4.21,0.0
20050103:0410,0.0,0.0,0.0,3.89,4.34,0.0
20050103:0510,0.0,0.0,0.0,4.12,4.41,0.0
20050103:0610,0.0,0.0,0.0,4.35,4.34,0.0
20050103:0710,0.0,0.0,0.0,5.11,4.83,0.0
20050103:0810,0.0,0.0,0.0,5.22,4.83,0.0
20050103:0910,206.59,93.39,6.15,5.55,4.97,0.0
20050103:1010,218.66,94.76,11.4,6.59,5.24,0.0
20050103:1110,654.56,249.04,14.73,7.74,4.0,0.0
20050103:1210,1186.37,442.35,15.83,8.69,4.62,0.0
20050103:1310,143.36,68.11,14.6,9.35,5.86,0.0
20050103:1410,285.6,119.6,11.16,9.35,5.24,0.0
20050103:1510,11.78,13.24,5.81,8.92,4.76,0.0
20050103:1610,0.0,0.0,0.0,8.35,4.69,0.0
20050103:1710,0.0,0.0,0.0,7.78,4.69,0.0
20050103:1810,0.0,0.0,0.0,7.52,4.83,0.0
20050103:1910,0.0,0.0,0.0,7.63,5.52,0.0
20050103:2010,0.0,0.0,0.0,7.46,5.93,0.0
20050103:2110,0.0,0.0,0.0,7.43,6.21,0.0
20050103:2210,0.0,0.0,0.0,7.29,6.34,0.0
20050103:2310,0.0,0.0,0.0,7.33,6.41,0.0
20050104:0010,0.0,0.0,0.0,7.45,6.55,0.0
20050104:0110,0.0,0.0,0.0,7.48,6.62,0.0
20050104:0210,0.0,0.0,0.0,7.59,6.76,0.0
20050104:0310,0.0,0.0,0.0,7.96,7.03,0.0
20050104:0410,0.0,0.0,0.0,8.23,7.17,0.0
20050104:0510,0.0,0.0,0.0,8.45,7.31,0.0
20050104:0610,0.0,0.0,0.0,8.53,7.52,0.0
20050104:0710,0.0,0.0,0.0,8.48,7.66,0.0
20050104:0810,0.0,0.0,0.0,8.65,7.52,0.0
20050104:0910,1.22,6.62,6.19,8.86,7.45,0.0
20050104:1010,10.05,12.3,11.47,9.2,7.45,0.0
20050104:1110,111.14,55.81,14.81,9.53,7.52,0.0
20050104:1210,173.22,79.46,15.93,9.93,6.21,0.0
20050104:1310,77.25,42.57,14.72,10.11,6.62,0.0
20050104:1410,22.72,18.92,11.29,10.08,6.69,0.0
20050104:1510,13.44,14.19,5.95,9.95,5.86,0.0
20050104:1610,0.0,0.0,0.0,9.73,4.83,0.0
20050104:1710,0.0,0.0,0.0,9.35,4.21,0.0
20050104:1810,0.0,0.0,0.0,8.7,4.0,0.0
20050104:1910,0.0,0.0,0.0,7.42,3.52,0.0
20050104:2010,0.0,0.0,0.0,6.18,2.76,0.0
20050104:2110,0.0,0.0,0.0,4.76,2.69,0.0
20050104:2210,0.0,0.0,0.0,3.8,2.97,0.0
20050104:2310,0.0,0.0,0.0,3.26,2.9,0.0
20050105:0010,0.0,0.0,0.0,2.78,2.69,0.0
20050105:0110,0.0,0.0,0.0,2.45,2.9,0.0
20050105:0210,0.0,0.0,0.0,2.27,3.03,0.0
20050105:0310,0.0,0.0,0.0,2.23,3.1,0.0
20050105:0410,0.0,0.0,0.0,2.22,3.03,0.0
20050105:0510,0.0,0.0,0.0,2.2,3.03,0.0
20050105:0610,0.0,0.0,0.0,2.54,3.03,0.0
20050105:0710,0.0,0.0,0.0,2.47,3.03,0.0
20050105:0810,0.0,0.0,0.0,2.79,3.17,0.0
20050105:0910,23.62,18.92,6.24,3.44,3.31,0.0
20050105:1010,439.9,172.12,11.54,4.73,3.72,0.0
20050105:1110,449.86,175.78,14.9,6.21,4.28,0.0
20050105:1210,1129.25,417.8,16.04,6.94,4.55,0.0
20050105:1310,1389.82,514.94,14.84,7.33,5.03,0.0
20050105:1410,1138.78,421.92,11.43,7.6,5.31,0.0
20050105:1510,111.1,55.3,6.09,7.59,5.66,0.0
20050105:1610,0.0,0.0,0.0,7.26,5.79,0.0
20050105:1710,0.0,0.0,0.0,6.99,5.86,0.0
20050105:1810,0.0,0.0,0.0,6.95,6.28,0.0
20050105:1910,0.0,0.0,0.0,7.14,6.55,0.0
20050105:2010,0.0,0.0,0.0,7.71,6.76,0.0
20050105:2110,0.0,0.0,0.0,8.0,6.21,0.0
20050105:2210,0.0,0.0,0.0,7.72,5.52,0.0
20050105:2310,0.0,0.0,0.0,7.3,5.1,0.0
20050106:0010,0.0,0.0,0.0,6.65,4.41,0.0
20050106:0110,0.0,0.0,0.0,5.82,3.66,0.0
20050106:0210,0.0,0.0,0.0,5.04,2.97,0.0
20050106:0310,0.0,0.0,0.0,4.35,2.55,0.0
20050106:0410,0.0,0.0,0.0,4.04,2.83,0.0
20050106:0510,0.0,0.0,0.0,4.15,3.03,0.0
20050106:0610,0.0,0.0,0.0,4.05,3.17,0.0
20050106:0710,0.0,0.0,0.0,4.5,3.17,0.0
20050106:0810,0.0,0.0,0.0,4.53,3.45,0.0
20050106:0910,150.82,71.83,6.31,4.95,3.52,0.0
20050106:1010,531.04,205.31,11.62,6.06,3.59,0.0
20050106:1110,692.32,262.48,15.0,7.32,3.38,0.0
20050106:1210,806.88,303.79,16.16,8.49,4.28,0.0
20050106:1310,562.21,217.11,14.97,9.15,5.1,0.0
20050106:1410,59.04,35.0,11.57,9.41,5.59,0.0
20050106:1510,20.9,17.97,6.24,9.39,5.59,0.0
20050106:1610,0.0,0.0,-0.63,9.29,5.72,0.0
20050106:1710,0.0,0.0,0.0,9.81,6.28,0.0
20050106:1810,0.0,0.0,0.0,10.0,6.76,0.0
20050106:1910,0.0,0.0,0.0,9.84,7.38,0.0
20050106:2010,0.0,0.0,0.0,9.66,7.59,0.0
20050106:2110,0.0,0.0,0.0,9.54,7.72,0.0
20050106:2210,0.0,0.0,0.0,9.54,7.66,0.0
20050106:2310,0.0,0.0,0.0,9.61,7.66,0.0
20050107:0010,0.0,0.0,0.0,9.88,7.72,0.0
20050107:0110,0.0,0.0,0.0,10.0,7.59,0.0
20050107:0210,0.0,0.0,0.0,10.2,7.24,0.0
20050107:0310,0.0,0.0,0.0,10.07,7.1,0.0
20050107:0410,0.0,0.0,0.0,10.37,7.45,0.0
20050107:0510,0.0,0.0,0.0,10.7,7.45,0.0
20050107:0610,0.0,0.0,0.0,10.71,7.38,0.0
20050107:0710,0.0,0.0,0.0,10.79,7.52,0.0
20050107:0810,0.0,0.0,0.0,10.64,7.52,0.0
20050107:0910,55.1,33.99,6.37,10.66,7.66,0.0
20050107:1010,367.74,149.87,11.7,10.92,8.07,0.0
20050107:1110,1217.12,452.92,15.11,11.15,8.34,0.0
20050107:1210,30.5,22.7,16.28,11.36,8.48,0.0
20050107:1310,24.51,19.87,15.11,11.44,9.66,0.0
20050107:1410,24.51,19.87,11.72,11.41,9.38,0.0
20050107:1510,3.78,8.51,6.39,11.22,8.9,0.0
20050107:1610,0.0,0.0,-0.48,10.91,8.76,0.0
20050107:1710,0.0,0.0,0.0,10.47,8.69,0.0
20050107:1810,0.0,0.0,0.0,10.31,8.76,0.0
20050107:1910,0.0,0.0,0.0,10.27,9.17,0.0
20050107:2010,0.0,0.0,0.0,10.35,9.45,0.0
20050107:2110,0.0,0.0,0.0,10.23,9.79,0.0
20050107:2210,0.0,0.0,0.0,10.21,10.21,0.0
20050107:2310,0.0,0.0,0.0,10.02,10.55,0.0
20050108:0010,0.0,0.0,0.0,9.9,10.83,0.0
20050108:0110,0.0,0.0,0.0,9.9,11.24,0.0
20050108:0210,0.0,0.0,0.0,10.06,11.52,0.0
20050108:0310,0.0,0.0,0.0,10.13,11.45,0.0
20050108:0410,0.0,0.0,0.0,10.08,11.66,0.0
20050108:0510,0.0,0.0,0.0,10.75,11.31,0.0
20050108:0610,0.0,0.0,0.0,9.75,10.21,0.0
20050108:0710,0.0,0.0,0.0,8.63,9.38,0.0
20050108:0810,0.0,0.0,0.0,7.74,9.31,0.0
20050108:0910,15.52,15.14,6.45,6.97,9.52,0.0
20050108:1010,679.2,255.94,11.8,7.1,9.45,0.0
20050108:1110,1304.58,475.11,15.22,7.43,9.66,0.0
20050108:1210,1359.62,495.57,16.41,7.62,9.17,0.0
20050108:1310,1680.93,617.32,15.26,7.58,8.14,0.0
20050108:1410,505.15,194.87,11.87,7.56,7.52,0.0
20050108:1510,355.58,143.18,6.55,7.23,6.97,0.0
20050108:1610,0.0,0.0,-0.31,6.59,6.14,0.0
